,team,score,base_score,bonus_score,adjusted_score
0,Team RaMarkable,67.0,35,14,49
1,Those Girls,62.5,34,13,47
2,Brady Bunch,59.5,33,12,45
3,Losers and Boozers,59.0,32,11,43
4,Smarty Pints,58.5,31,9,40
5,Jane St. Brewing,58.5,31,9,40
6,Educated Guessers,57.5,30,8,38
7,Palest Ales,56.0,29,7,36
8,Quiz In My Pants,54.0,28,6,34
9,I Got Nothing,53.5,27,5,32
10,Canaussies,53.0,26,3,29
11,Taking A Whiz In The Quiz Pool,53.0,26,3,29
12,You're A Quizzard Harry,47.0,25,2,27
13,Walk In The Park,36.5,24,1,25
14,Ali Cat,27.0,23,0,23
